code,symbol
W0102,dangerous-default-value
W0122,exec-used
W0123,eval-used
W0201,attribute-defined-outside-init
W0212,protected-access
W0221,arguments-differ
W0231,super-init-not-called
W0233,non-parent-init-called
W0311,bad-indentation
W0401,wildcard-import
W0402,deprecated-module
W0614,unused-wildcard-import
W0621,redefined-outer-name
W0622,redefined-builtin
W0631,undefined-loop-variable
W0702,bare-except
W0703,broad-except
W0707,raise-missing-from
W1201,logging-not-lazy
W1505,deprecated-method
R0123,literal-comparison
R0801,duplicate-code
R0901,too-many-ancestors
R0902,too-many-instance-attributes
R0904,too-many-public-methods
R0911,too-many-return-statements
R0912,too-many-branches
R0913,too-many-arguments
R0914,too-many-locals
R0915,too-many-statements
R0916,too-many-boolean-expressions
R1702,too-many-nested-blocks
R1704,redefined-argument-from-local
R1707,trailing-comma-tuple
R1710,inconsistent-return-statements
R1714,consider-using-in
R1716,chained-comparison
R1719,simplifiable-if-expression
R1720,no-else-raise
R1721,unnecessary-comprehension
R1725,super-with-arguments
C0103,invalid-name
C0121,singleton-comparison
C0123,unidiomatic-typecheck
C0200,consider-using-enumerate
C0203,bad-mcs-method-argument
C0301,line-too-long
C0302,too-many-lines
C0321,multiple-statements
C0325,superfluous-parens
C0413,wrong-import-position
C0414,useless-import-alias
C0415,import-outside-toplevel
C1801,len-as-condition
